Genre,has_gamepass_remediation,momentum_mean,momentum_std,momentum_median,discovery_capture_mean,discovery_capture_std,discovery_capture_median,quality_retention_mean,quality_retention_std,quality_retention_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,game_count
Sports / Driving/Racing,False,50.0,70.71,50.0,0.02,0.02,0.02,1.35,0.07,1.35,2.5,3.54,2.5,4.6,0.57,4.6,3.25,0.49,3.25,0.5,0.71,0.5,3.0,2.83,3.0,2111.5,1840.6,2111.5,2
Sports / Driving/Racing,True,26.47,,26.47,0.22,,0.22,0.6,,0.6,4.3,,4.3,4.4,,4.4,3.8,,3.8,27.0,,27.0,102.0,,102.0,12307.0,,12307.0,1
Sports / Driving/Racing / Simulation,False,33.33,,33.33,0.06,,0.06,0.4,,0.4,5.0,,5.0,4.3,,4.3,3.9,,3.9,1.0,,1.0,3.0,,3.0,1650.0,,1650.0,1
Sports / Fighting,False,6.25,12.5,0.0,0.01,0.02,0.0,-2.98,2.05,-4.0,0.75,1.5,0.0,0.55,1.1,0.0,3.52,0.95,4.0,0.75,1.5,0.0,3.0,6.0,0.0,10180.75,770.5,10566.0,4
Sports / Fishing,False,0.0,,0.0,0.0,,0.0,-2.9,,-2.9,0.0,,0.0,0.0,,0.0,2.9,,2.9,0.0,,0.0,0.0,,0.0,505.0,,505.0,1
Sports / Fishing,True,50.0,,50.0,0.2,,0.2,-0.1,,-0.1,3.5,,3.5,3.4,,3.4,3.5,,3.5,6.0,,6.0,12.0,,12.0,2958.0,,2958.0,1
Sports / Football,False,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,2.21,-2.3,0.0,0.0,0.0,1.6,2.3,0.0,3.4,0.89,3.5,0.0,0.0,0.0,0.6,0.89,0.0,7797.8,8442.51,3029.0,5
Sports / Golf,False,100.0,,100.0,0.02,,0.02,1.5,,1.5,5.0,,5.0,5.0,,5.0,3.5,,3.5,1.0,,1.0,1.0,,1.0,5649.0,,5649.0,1
Sports / Hockey,False,0.0,0.0,0.0,0.0,0.0,0.0,-2.48,0.41,-2.3,0.0,0.0,0.0,0.0,0.0,0.0,2.48,0.41,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1935.6,713.59,1879.0,5
Sports / Simulation / Soccer,False,0.0,,0.0,0.0,,0.0,-3.1,,-3.1,0.0,,0.0,0.0,,0.0,3.1,,3.1,0.0,,0.0,0.0,,0.0,1070.0,,1070.0,1
