publisher,has_gamepass_remediation,momentum_mean,discovery_capture_mean,quality_retention_mean,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,has_gamepass_remediation_sum,title_count
Activision,False,14.217,0.09,-1.0,2.833,2.515,3.7,2.733,2.419,3.6,3.733,0.473,3.9,12.0,18.248,3.0,49.667,71.808,17.0,7845.667,10832.0,2628.0,0.0,3.0
Activision,True,37.74,0.29,0.4,4.85,0.212,4.85,4.1,0.141,4.1,3.7,0.283,3.7,10.5,0.707,10.5,28.0,4.243,28.0,3745.5,815.294,3745.5,2.0,2.0
Activision Publishing Inc.,False,52.94,0.4,0.0,2.7,,2.7,2.3,,2.3,2.3,,2.3,9.0,,9.0,17.0,,17.0,2266.0,,2266.0,0.0,1.0
Activision Publishing Inc.,True,11.25,0.615,-0.4,1.6,1.876,1.4,3.025,1.658,3.05,3.425,0.822,3.45,45.0,57.102,30.5,250.75,375.647,103.0,12646.25,22528.99,1953.0,4.0,4.0
Adult Swim Games,False,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.6,4.3,0.0,0.0,0.0,0.0,0.0,0.0,360.8,258.605,329.0,0.0,5.0
Aggro Crab,True,31.11,0.22,0.0,4.4,,4.4,4.1,,4.1,4.1,,4.1,14.0,,14.0,45.0,,45.0,6490.0,,6490.0,1.0,1.0
Alliance Digital Media,False,0.0,0.0,-3.1,0.0,,0.0,0.0,,0.0,3.1,,3.1,0.0,,0.0,0.0,,0.0,186.0,,186.0,0.0,1.0
Amanita Design s.r.o.,False,33.335,0.325,-2.5,2.0,2.828,2.0,2.15,3.041,2.15,4.65,0.071,4.65,1.0,1.414,1.0,1.5,2.121,1.5,231.5,111.016,231.5,0.0,2.0
Amplitude STUDIOS,False,0.0,0.0,-2.8,0.0,,0.0,0.0,,0.0,2.8,,2.8,0.0,,0.0,0.0,,0.0,358.0,,358.0,0.0,1.0
Annapurna Interactive,False,25.871,0.021,-0.76,2.46,2.596,2.3,3.44,2.375,4.8,4.2,0.523,4.25,1.7,3.401,0.5,7.7,15.29,1.0,5613.7,3640.351,5933.5,0.0,10.0
